,Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Label
730,spotify:track:6mOX5TIWwFW9iRm51tdLii,Age of Consent,spotify:artist:2N79L5eT2Xraec4UJsi2Fz,Justice Der,spotify:album:4BelXp6iucUHIOnEX8fQHo,Age of Consent,spotify:artist:2N79L5eT2Xraec4UJsi2Fz,Justice Der,2018-12-11,https://i.scdn.co/image/ab67616d0000b2737c72d023474b43b5decf9c64,1,1,360000,https://p.scdn.co/mp3-preview/e3c6ac25dc5fa5801fdafe5b4e8ebe3dc96b829e?cid=9950ac751e34487dbbe027c4fd7f8e99,False,45,,2019-12-30T15:36:20Z,0.536,0.0356,2.0,-20.759,1.0,0.0413,0.979,0.934,0.0888,0.169,143.016,4.0,True
731,spotify:track:0fqjy5gVNVmQQmxOLLfb3c,Take Your Time,spotify:artist:10exVja0key0uqUkk6LJRT,Vance Joy,spotify:album:5f6Eu9QtujgGggq5qbbycV,Nation of Two,spotify:artist:10exVja0key0uqUkk6LJRT,Vance Joy,2018-02-23,https://i.scdn.co/image/ab67616d0000b2739ac709b94022896013465886,1,5,217173,https://p.scdn.co/mp3-preview/c4defe3d34b142df5d420af67eb2a47bf85a1c68?cid=9950ac751e34487dbbe027c4fd7f8e99,False,52,,2018-03-07T07:23:18Z,0.638,0.687,7.0,-6.556,1.0,0.0351,0.4,0.000114,0.166,0.323,114.98,4.0,False
732,spotify:track:4s2lS4q7UAwpqynFpxCKjH,Tyner,spotify:artist:1EJzWKVDeysgbyuZGfEFde,The Deli,spotify:album:5GlqARIKJdOkuXKgvdouwz,Vibes 2,spotify:artist:1EJzWKVDeysgbyuZGfEFde,The Deli,2016-10-17,https://i.scdn.co/image/ab67616d0000b273ccfb839a18194f110d29d85e,1,2,163281,https://p.scdn.co/mp3-preview/c42b16162b97af83d9c5e7ee304f0062f4748cdc?cid=9950ac751e34487dbbe027c4fd7f8e99,False,35,,2018-04-06T02:28:16Z,0.628,0.278,7.0,-9.823,0.0,0.234,0.68,0.891,0.0802,0.369,176.004,4.0,False
733,spotify:track:3pUNZjK42Ujg9Fwd7ljObi,Hush,spotify:artist:2ABBMkcUeM9hdpimo86mo6,Tourist,spotify:album:74nw81rZ7Q3M7vZnkeA0VD,Essentials,spotify:artist:2ABBMkcUeM9hdpimo86mo6,Tourist,2018-09-21,https://i.scdn.co/image/ab67616d0000b2731854bb601fae57543a0a29c2,1,8,200159,,False,0,,2019-02-12T15:58:54Z,0.714,0.565,1.0,-12.149,1.0,0.0589,0.767,0.923,0.131,0.282,97.991,4.0,True
734,spotify:track:1o66XfLQvCGbIuQQEIeqRl,"""Sparkle"" GOD HELP ME",spotify:artist:09kXLeOXRyfNQMXRaDO4qA,Nilüfer Yanya,spotify:album:4ghm3TST2NwYOIAd5QHjbU,Miss Universe,spotify:artist:09kXLeOXRyfNQMXRaDO4qA,Nilüfer Yanya,2019-03-22,https://i.scdn.co/image/ab67616d0000b273a59c1c25139409626a40fc37,1,11,91793,,False,3,,2020-06-29T20:10:32Z,0.62,0.267,4.0,-17.97,0.0,0.0968,0.6,0.0317,0.363,0.323,81.926,4.0,True
735,spotify:track:6o43Gi1cX7Nyi6koSkwIBc,Navy Light,spotify:artist:51kDu9CfyGBpcgMwy8MlEd,Labyrinth Ear,spotify:album:6qNK3qCiPEzjpVBtYaDfSr,Oak,spotify:artist:51kDu9CfyGBpcgMwy8MlEd,Labyrinth Ear,2010-03-08,https://i.scdn.co/image/ab67616d0000b2730339b1374e5e6c973495406a,1,4,187506,https://p.scdn.co/mp3-preview/f7269fc9b276e9b765bb464e73ff7f56f6b5b2d0?cid=9950ac751e34487dbbe027c4fd7f8e99,False,39,,2018-07-23T02:25:43Z,0.747,0.696,11.0,-9.508,0.0,0.0465,0.00119,0.5,0.0964,0.891,130.324,4.0,True
736,spotify:track:5v7kaZNsnyByrSJOfO8gKq,Skrt,spotify:artist:46SHBwWsqBkxI7EeeBEQG7,Kodak Black,spotify:album:5pgyZ32nzg48ugJS2QVVuS,Skrt,spotify:artist:46SHBwWsqBkxI7EeeBEQG7,Kodak Black,2016-02-12,https://i.scdn.co/image/ab67616d0000b27372d893a23681294ff3973853,1,1,224864,https://p.scdn.co/mp3-preview/592ae8dbd4e4daf6c47c09a42646b4d156351868?cid=9950ac751e34487dbbe027c4fd7f8e99,True,63,,2020-10-04T06:01:32Z,0.901,0.352,2.0,-10.038,1.0,0.0916,0.585,0.0,0.122,0.199,111.065,4.0,True
737,spotify:track:078y8ygOFesjpWf3Pp5yNv,Haunt // Bed,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,The 1975,spotify:album:0mkOUedmYlOzCC4tOm2v0c,The 1975 (Deluxe Version),spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,The 1975,2013,https://i.scdn.co/image/ab67616d0000b273ebcc3ef64dbef8acb47e2960,1,31,305022,https://p.scdn.co/mp3-preview/ad6e4de62ded32f099793e19d7fb6ac55d1e14b1?cid=9950ac751e34487dbbe027c4fd7f8e99,False,38,,2016-10-03T15:04:20Z,0.313,0.495,7.0,-12.37,1.0,0.0429,0.41,0.184,0.392,0.12,89.971,4.0,True
738,spotify:track:1T6UN0PADK174c0nSEFYVh,Dim,spotify:artist:0yWtq3VaXTns2rqmEdTGX8,Moss Of Aura,spotify:album:5uQ8i5x4LGX9H10cS584TY,We'll All Collide,spotify:artist:0yWtq3VaXTns2rqmEdTGX8,Moss Of Aura,2016-09-02,https://i.scdn.co/image/ab67616d0000b273608259b26fc526dbcbd8e536,1,4,293523,,False,0,,2019-01-31T18:54:55Z,0.741,0.343,9.0,-12.793,0.0,0.0438,0.0108,0.823,0.107,0.519,119.995,4.0,False
739,spotify:track:5YMDbFZOmqbuKsGfSBwKRj,stay,spotify:artist:18vetuyfF5U3hdFX1TA0nI,datfootdive,spotify:album:0T66uddcmKUPuCoUl2FtJB,Mother,spotify:artist:18vetuyfF5U3hdFX1TA0nI,datfootdive,2017-10-02,https://i.scdn.co/image/ab67616d0000b2731fc516e0b2327604dfd23ad6,1,1,72000,,False,0,,2019-03-04T16:04:57Z,0.665,0.586,6.0,-9.223,1.0,0.125,0.224,0.218,0.367,0.885,80.038,4.0,True
